condition_id,target,prompt_shape,concurrency,request_count_per_mode,predicted_cache_hit_ratio,observed_cache_hit_ratio,prediction_absolute_error,cache_off_ttft_p50_ms,cache_on_ttft_p50_ms,ttft_change_percent,cache_off_tpot_p50_ms,cache_on_tpot_p50_ms,cache_off_latency_p50_ms,cache_on_latency_p50_ms,cache_off_latency_p95_ms,cache_on_latency_p95_ms,cache_off_latency_p99_ms,cache_on_latency_p99_ms,cache_off_input_tokens_per_second,cache_on_input_tokens_per_second,cache_off_output_tokens_per_second,cache_on_output_tokens_per_second,output_throughput_change_percent,cache_off_peak_gpu_memory_gib,cache_on_peak_gpu_memory_gib,cache_off_cost_per_million_output_tokens_usd,cache_on_cost_per_million_output_tokens_usd
base-short-c1,base,short,1,32,0.859375,0.859375,0.0,92.35822300000507,91.66488750000212,-0.7507025118953514,35.31305910000053,34.95750370000034,624.3599220000107,615.2482859999964,638.8218722500128,659.1055152499976,642.3520977599978,697.987812000004,57.99346621780097,58.231006877188804,25.68568745978728,25.79089577951615,0.40959900292167895,17.916015625,17.916015625,15.51231381555338,15.449034723365452
base-short-c8,base,short,8,32,0.859375,0.859375,0.0,157.9622015000126,148.4173700000042,-6.042478143106688,38.192349600001315,38.178913366666244,731.2808865000022,727.0958059999941,738.918951199993,735.6746736499972,741.7365363800005,738.3957951300058,394.04779636628854,396.4852375291588,174.52635963628003,175.60591835201498,0.6185648505960817,17.91796875,17.916015625,2.2830043855542437,2.26896933875391
base-short-c32,base,short,32,32,0.859375,0.859375,0.0,410.7901359999886,297.8417360000094,-27.495402177812355,46.059469166666155,50.969210200000255,1121.6528879999998,1050.4262980000049,1147.780661599991,1093.829297550002,1148.8217144399844,1094.973750519995,998.5797785481719,1046.703294340171,442.277548976353,463.5917705036051,4.819195904604179,17.91796875,17.916015625,0.9008923138120852,0.8594726433810713
base-short-c64,base,short,64,64,0.9296875,0.9296875,0.0,433.67543299999056,450.7625349999955,3.940066856405333,45.362853466666785,44.46690810000006,1145.0144409999866,1146.6858850000108,1204.2205546499958,1216.4805977000083,1206.1534236899981,1218.602541829998,1890.462377563152,1859.5565327971826,837.2982156681088,823.6098138340462,-1.634829930115178,17.91796875,17.91796875,0.47586921480121885,0.48377816503863236
base-long-c1,base,long,1,32,0.7563405797101449,0.7481884057971014,0.008152173913043459,94.3550554999888,90.64087099999085,-3.9363916223846496,34.85672093333202,34.01205836666653,618.8859755000067,601.4460334999967,636.1101359000016,635.840089500006,640.9587087000094,689.7109919199972,899.0702705315532,919.2103966582832,25.791347966839716,26.369101472940443,2.240105894595157,17.919921875,17.91796875,15.448763862855477,15.110277642691841
base-long-c8,base,long,8,32,0.7563405797101449,0.7481884057971014,0.008152173913043459,124.40632700000265,130.9299259999932,5.243783943553293,38.84419119999999,40.47673110000005,717.6645790000009,744.9328079999873,773.9091054499964,776.0431957000038,776.7217182499977,779.8742321300003,6100.795486955317,5918.642693031564,175.01161414842684,169.78625385657557,-2.9857220146656482,17.919921875,17.91796875,2.2766743017781947,2.3467414787361083
base-long-c32,base,long,32,32,0.7563405797101449,0.7481884057971014,0.008152173913043459,341.0317510000027,273.68560700000444,-19.74776360339473,39.79424946666654,41.08149576666733,937.0100394999952,910.1613355000069,1061.7320605000048,946.1615336499847,1064.621069230014,948.1398006399951,16621.1334868218,18615.177228299155,476.8052636291327,534.0077734698099,11.997038246870172,17.919921875,17.91796875,0.8356544586184799,0.7461397834257755
base-long-c64,base,long,64,64,0.8781702898550725,0.8686594202898551,0.009510869565217406,574.3184024999977,442.46705049999946,-22.957883889154807,44.39326019999896,52.80955186666745,1261.2365380000056,1239.3976080000043,1524.4959075999957,1295.1172544499966,1528.0715625099913,1298.803796969993,23078.914451914254,27179.36152542733,662.0576086609199,779.6858528136931,17.76707081286908,17.919921875,17.91796875,0.6018274531280438,0.5110320304088591
base-agentic-c1,base,agentic,1,32,0.8918918918918919,0.8918918918918919,0.0,92.28463350000027,87.71618750000698,-4.950386458427314,34.56346283333384,33.98963636666679,610.5216244999951,596.4503059999942,625.1849677499977,612.9714133499974,627.7286825399932,658.4536638500133,133.95946236536201,136.7399179843434,26.138431681046246,26.680959606701155,2.0755947880695125,17.919921875,17.91796875,15.243624763201396,14.933662443848972
base-agentic-c8,base,agentic,8,32,0.8918918918918919,0.8918918918918919,0.0,151.2242525000005,141.10603700000013,-6.690868252101511,37.6564922,36.79687429999963,715.2235595000036,697.6267434999954,732.7380759999841,710.0640347500075,734.7275000599899,713.1529515399919,912.9368751822559,936.989474308383,178.13402442580602,182.82721449919669,2.6346398946066607,17.919921875,17.91796875,2.23676776926128,2.1793497512712756
